Year,Date,User,Release,Score,Band
2002,2002.08.09.13:54,31,2368,100,914
2002,2002.08.09.13:56,31,2629,88,989
2002,2002.08.09.13:58,31,1356,83,370
2002,2002.08.09.14:00,31,3534,96,802
2002,2002.08.09.14:03,31,2597,88,767
2002,2002.08.09.14:07,31,1166,95,310
2002,2002.08.09.14:07,31,1167,95,310
2002,2002.08.09.14:09,31,1278,99,299
2002,2002.08.09.14:10,31,1280,97,299
2002,2002.08.10.08:23,170,652,25,151
2002,2002.08.10.09:10,164,3151,15,170
2002,2002.08.10.09:23,164,3094,98,419
2002,2002.08.10.10:17,170,921,97,227
2002,2002.08.10.13:13,170,1437,90,389
2002,2002.08.10.13:28,170,278,65,80
2002,2002.08.10.14:27,170,412,98,94
2002,2002.08.10.14:34,170,413157,15,94
2002,2002.08.10.15:07,170,2765,53,105
2002,2002.08.10.16:53,147,212,81,72
2002,2002.08.10.17:00,147,207,89,72
2002,2002.08.10.17:06,147,208,88,72
2002,2002.08.10.17:16,147,214,94,72
2002,2002.08.10.17:25,147,218,80,72
2002,2002.08.10.17:33,147,220,90,72
2002,2002.08.10.18:24,147,81,54,25
2002,2002.08.11.06:53,170,419,55,98
2002,2002.08.11.07:36,170,645,89,151
2002,2002.08.11.07:39,170,651,83,151
2002,2002.08.11.08:24,170,436,100,97
2002,2002.08.11.10:13,170,904,89,224
2002,2002.08.11.12:44,165,705,87,145
2002,2002.08.11.13:06,28,1323,97,163
2002,2002.08.11.15:30,117,538,90,125
2002,2002.08.11.17:40,147,662,86,138
2002,2002.08.11.17:48,147,593,93,138
2002,2002.08.11.17:53,147,668,66,138
2002,2002.08.11.17:58,147,669,81,138
2002,2002.08.11.18:02,147,447541,36,138
2002,2002.08.11.18:15,147,1035,88,168
2002,2002.08.11.18:18,147,1377,88,168
2002,2002.08.11.18:22,147,1386,80,168
2002,2002.08.11.18:28,147,1401,89,168
2002,2002.08.11.18:33,147,1038,56,168
2002,2002.08.11.18:40,147,1956,82,168
2002,2002.08.11.18:54,147,1965,76,168
2002,2002.08.11.18:59,147,1967,86,168
2002,2002.08.11.20:50,117,207,50,72
2002,2002.08.12.15:28,170,906,68,224
2002,2002.08.12.15:34,170,11,69,3
2002,2002.08.12.15:51,170,4083,35,1416
2002,2002.08.12.21:06,117,77,100,25
2002,2002.08.13.11:58,147,1844,77,169
2002,2002.08.13.12:08,147,4141,46,169
2002,2002.08.13.12:13,147,1838,69,169
2002,2002.08.13.12:40,147,889,60,169
2002,2002.08.13.12:50,147,222,11,72
2002,2002.08.13.12:54,147,221,75,72
2002,2002.08.13.12:58,147,209,83,72
2002,2002.08.13.13:10,147,1508,34,335
2002,2002.08.13.13:19,147,3524,15,335
2002,2002.08.13.20:51,147,3432,92,1191
2002,2002.08.13.20:58,147,4185,91,1191
2002,2002.08.13.21:03,147,4128,82,1191
2002,2002.08.13.21:08,147,3440,87,1191
2002,2002.08.13.21:33,147,2091,78,796
2002,2002.08.14.10:24,147,3125,64,1029
2002,2002.08.14.10:35,147,3126,66,1029
2002,2002.08.14.10:38,147,1077,90,267
2002,2002.08.14.10:47,147,3200,41,221
2002,2002.08.14.10:51,147,3206,80,221
2002,2002.08.14.10:58,147,1444,91,221
2002,2002.08.14.11:13,147,697,82,159
2002,2002.08.14.14:06,147,4209,79,3
2002,2002.08.14.18:05,147,4277,88,376
2002,2002.08.14.18:59,147,2213,88,529
2002,2002.08.14.21:54,147,545,90,126
2002,2002.08.17.22:06,147,1357,86,371
2002,2002.08.17.22:09,147,1358,86,371
2002,2002.08.17.22:15,147,1359,90,371
2002,2002.08.17.22:20,147,1367,86,371
2002,2002.08.18.12:49,147,4735,66,746
2002,2002.08.18.12:54,147,2875,82,1035
2002,2002.08.18.13:00,147,2881,90,1035
2002,2002.08.18.13:05,147,439202,51,374
2002,2002.08.18.13:11,147,741,72,179
2002,2002.08.18.13:17,147,1171,44,179
2002,2002.08.18.13:22,147,728,94,173
2002,2002.08.18.14:24,147,3241,87,249
2002,2002.08.18.14:37,147,276,8,78
2002,2002.08.18.15:14,147,4224,75,125
2002,2002.08.18.16:13,147,2469,69,900
2002,2002.08.18.16:17,147,436308,73,900
2002,2002.08.18.16:22,147,479336,91,900
2002,2002.08.18.16:26,147,479335,70,900
2002,2002.08.18.16:30,147,455794,85,900
2002,2002.08.18.17:58,147,600,77,142
2002,2002.08.18.18:01,147,601,84,142
2002,2002.08.18.18:05,147,604,76,142
2002,2002.08.18.18:11,147,605,86,142
2002,2002.08.18.20:02,147,1920,64,647
2002,2002.08.18.21:01,147,2600,34,977
2002,2002.08.18.22:06,147,4777,72,1657
2002,2002.08.19.19:32,147,2907,70,1103
2002,2002.08.19.19:36,147,2910,63,1103
2002,2002.08.19.19:39,147,2914,59,1103
2002,2002.08.19.19:45,147,2922,59,1103
2002,2002.08.19.19:48,147,2923,69,1103
2002,2002.08.19.22:50,200,323,92,45
2002,2002.08.20.13:51,96,5000,90,505
2002,2002.08.20.13:59,96,588,88,127
2002,2002.08.20.14:00,96,1762,90,563
2002,2002.08.20.14:02,96,1763,90,563
2002,2002.08.20.14:08,96,3975,80,765
2002,2002.08.21.03:10,96,2280,85,868
2002,2002.08.21.03:14,96,5029,100,433
2002,2002.08.21.03:16,96,2656,95,1000
2002,2002.08.21.03:21,96,5030,80,451
2002,2002.08.21.03:24,96,3174,65,1040
2002,2002.08.21.10:29,147,2022,94,548
2002,2002.08.21.10:39,147,2430,77,607
2002,2002.08.21.10:44,147,2431,69,607
2002,2002.08.21.10:51,147,4778,54,1657
2002,2002.08.21.10:57,147,583492,75,1191
2002,2002.08.21.11:04,147,1103,83,166
2002,2002.08.21.11:10,147,3411,85,604
2002,2002.08.21.11:17,147,4129,55,264
2002,2002.08.21.11:29,147,2536,15,192
2002,2002.08.21.12:14,147,2368,97,914
2002,2002.08.21.13:00,147,508,83,121
2002,2002.08.21.14:13,147,484,83,117
2002,2002.08.21.14:34,147,1090,80,272
2002,2002.08.21.14:38,147,1092,80,272
2002,2002.08.21.14:46,147,1089,78,272
2002,2002.08.21.14:50,147,1088,85,272
2002,2002.08.21.14:56,147,1583,53,441
2002,2002.08.21.15:01,147,1575,70,441
2002,2002.08.21.15:08,147,1255,83,334
2002,2002.08.21.15:14,147,486218,45,1209
2002,2002.08.21.15:22,147,2656,51,1000
2002,2002.08.21.16:43,147,1596,65,471
2002,2002.08.21.20:48,147,1236,26,216
2002,2002.08.21.21:13,147,482,76,99
2002,2002.08.21.21:29,147,536,73,126
2002,2002.08.21.21:44,147,245,29,70
2002,2002.08.21.21:55,147,4627,83,1221
2002,2002.08.21.22:10,147,4628,69,1221
2002,2002.08.22.09:24,147,5190,34,1778
2002,2002.08.23.09:17,147,5275,79,1190
2002,2002.08.23.09:30,147,5276,89,1190
2002,2002.08.23.09:44,147,5288,73,1190
2002,2002.08.23.09:58,147,5289,82,1190
2002,2002.08.23.10:03,147,5277,59,1190
2002,2002.08.23.10:35,147,5292,69,1190
2002,2002.08.23.11:46,147,5293,77,1234
2002,2002.08.23.11:59,147,5294,59,1234
2002,2002.08.23.12:03,147,5296,55,1234
2002,2002.08.23.12:06,147,5297,45,1234
2002,2002.08.23.12:11,147,5298,84,1234
2002,2002.08.23.12:24,147,5300,90,1234
2002,2002.08.23.12:28,147,5301,66,1234
2002,2002.08.23.12:33,147,5302,70,1234
2002,2002.08.23.13:00,147,5308,92,1190
2002,2002.08.23.13:14,147,5309,79,1190
2002,2002.08.23.15:57,74,131,96,37
2002,2002.08.23.20:56,147,5364,30,1842
2002,2002.08.23.21:00,147,5365,39,1842
2002,2002.08.23.21:31,147,5314,80,1844
2002,2002.08.23.21:42,147,5377,77,1884
2002,2002.08.23.21:56,147,5374,80,1884
2002,2002.08.23.22:41,147,1362,5,11
2002,2002.08.23.23:56,147,5291,77,1841
2002,2002.08.24.00:23,147,5290,75,1841
2002,2002.08.24.17:24,147,1133,30,83
2002,2002.08.24.17:33,147,309,76,83
2002,2002.08.24.17:43,147,589,69,83
2002,2002.08.24.17:51,147,585,62,83
2002,2002.08.24.17:58,147,311,59,83
2002,2002.08.24.19:54,170,3388,100,1178
2002,2002.08.24.20:02,147,3387,86,1178
2002,2002.08.24.20:55,147,855,36,159
2002,2002.08.25.17:33,147,4400,81,626
2002,2002.08.25.17:38,147,2396,78,626
2002,2002.08.25.17:52,147,2397,85,626
2002,2002.08.25.17:59,147,2398,80,626
2002,2002.08.25.19:02,202,636,100,150
2002,2002.08.26.19:19,147,810,69,195
2002,2002.08.26.19:26,147,815,66,195
2002,2002.08.26.19:33,147,844,52,195
2002,2002.08.26.19:42,147,845,68,195
2002,2002.08.26.19:55,147,997,39,195
2002,2002.08.26.20:04,147,1001,20,195
2002,2002.08.26.22:01,147,504,84,99
2002,2002.08.26.22:08,147,517,77,99
2002,2002.08.26.22:21,147,521,92,99
2002,2002.08.26.22:48,147,2510,65,626
2002,2002.08.27.10:40,191,148,88,1
2002,2002.08.27.12:00,147,1457,89,306
2002,2002.08.27.12:04,147,1242,79,306
2002,2002.08.27.12:10,147,1227,81,306
2002,2002.08.27.12:15,147,1234,75,306
2002,2002.08.27.12:36,147,2793,19,125
2002,2002.08.27.12:55,147,5861,83,1188
2002,2002.08.28.00:08,191,841,85,201
2002,2002.08.28.12:08,147,841,70,201
2002,2002.08.28.12:19,147,176,90,4
2002,2002.08.28.12:28,147,174,80,4
2002,2002.08.28.12:37,147,304,79,4
2002,2002.08.28.12:46,147,166,30,4
2002,2002.08.28.13:00,147,463,90,109
2002,2002.08.28.23:53,191,1789,94,614
2002,2002.08.30.02:46,246,312,80,84
2002,2002.08.30.07:41,96,3647,75,1246
2002,2002.08.30.07:42,96,3899,90,927
2002,2002.08.30.07:43,96,190,70,60
2002,2002.08.30.07:47,96,654,85,139
2002,2002.08.30.07:48,96,2085,75,777
2002,2002.08.31.05:22,246,1655,96,548
2002,2002.09.01.02:18,246,847,99,195
2002,2002.09.01.20:10,125,409,22,92
2002,2002.09.02.13:08,122,3032,96,1122
2002,2002.09.03.00:46,191,6014,92,2146
2002,2002.09.03.01:39,191,1152,90,200
2002,2002.09.04.00:55,256,3022,90,191
2002,2002.09.04.02:01,256,2237,85,859
2002,2002.09.04.02:54,256,2162,40,286
2002,2002.09.06.13:13,191,839,95,201
2002,2002.09.07.14:52,154,4016,90,8
2002,2002.09.07.15:57,154,1010,65,243
2002,2002.09.07.16:38,154,1907,85,675
2002,2002.09.08.22:54,191,450396,94,10
2002,2002.09.10.05:14,170,450396,85,10
2002,2002.09.10.05:46,170,1374,96,37
2002,2002.09.10.20:10,154,3648,75,1248
2002,2002.09.12.09:45,191,434,100,97
2002,2002.09.12.23:41,191,982,80,154
2002,2002.09.13.00:42,200,6489,47,2050
2002,2002.09.15.19:24,191,435,80,97
2002,2002.09.17.23:19,191,1507,98,329
2002,2002.09.19.17:09,303,4105,95,1420
2002,2002.09.20.06:57,122,378,99,88
2002,2002.09.20.11:46,200,6879,89,2713
2002,2002.09.22.01:51,282,7208,90,2884
2002,2002.09.22.18:46,154,1264,97,8
2002,2002.09.23.16:06,326,857,92,159
2002,2002.09.24.00:25,191,465,100,97
2002,2002.09.24.17:30,303,6043,80,1395
2002,2002.09.24.17:30,331,954,85,203
2002,2002.09.25.14:55,331,949,95,203
2002,2002.09.25.19:27,326,1467,88,391
2002,2002.09.26.17:48,327,1136,100,295
2002,2002.09.27.05:37,331,951,65,203
2002,2002.09.28.06:39,303,2866,95,128
2002,2002.09.28.09:05,326,176,91,4
2002,2002.09.28.10:02,338,2786,100,203
2002,2002.09.29.18:58,323,995,93,241
2002,2002.09.29.20:24,479,594,80,83
2002,2002.09.30.05:35,96,2427,95,935
2002,2002.09.30.06:34,96,3760,85,1181
2002,2002.09.30.20:23,479,1185,90,255
2002,2002.10.01.06:52,26,324,100,68
2002,2002.10.01.18:19,364,1,97,1
2002,2002.10.01.22:12,344,662,95,138
2002,2002.10.02.03:23,329,2422,95,927
2002,2002.10.02.23:56,191,5278,82,1552
2002,2002.10.03.12:47,96,8273,65,3289
2002,2002.10.03.12:50,96,8274,85,3289
2002,2002.10.03.17:00,335,386,75,25
2002,2002.10.04.05:59,96,2307,85,895
2002,2002.10.04.05:59,96,5067,90,478
2002,2002.10.04.06:02,96,5063,95,477
2002,2002.10.04.06:03,96,5064,95,477
2002,2002.10.04.06:06,96,6100,100,426
2002,2002.10.04.06:31,96,5066,85,478
2002,2002.10.04.17:21,96,8488,83,435
2002,2002.10.07.03:54,303,3665,65,1067
2002,2002.10.07.04:53,303,8803,85,3571
2002,2002.10.07.20:34,191,164,95,61
2002,2002.10.09.17:59,335,7574,60,234
2002,2002.10.09.18:35,335,419,75,98
2002,2002.10.10.17:49,479,7491,95,2359
2002,2002.10.11.15:49,200,8707,45,3487
2002,2002.10.12.05:55,326,826,85,198
2002,2002.10.14.02:16,303,4,65,7
2002,2002.10.15.19:09,479,7986,65,286
2002,2002.10.15.19:11,479,2162,60,286
2002,2002.10.15.19:16,479,486,80,114
2002,2002.10.15.19:29,479,1337,80,163
2002,2002.10.15.19:37,479,197,85,71
2002,2002.10.15.20:11,479,2142,72,98
2002,2002.10.15.20:21,479,496388,90,75
2002,2002.10.15.20:41,303,5832,95,2056
2002,2002.10.16.00:38,191,2209,90,771
2002,2002.10.17.08:15,117,544,93,125
2002,2002.10.17.18:00,390,131,100,37
2002,2002.10.17.18:37,9,3954,92,1361
2002,2002.10.17.20:14,303,776,85,140
2002,2002.10.18.17:39,326,3427,93,159
2002,2002.10.18.17:53,200,8926,65,3638
2002,2002.10.18.19:54,147,4250,84,138
2002,2002.10.18.20:53,147,58,85,22
2002,2002.10.19.12:49,117,79,98,25
2002,2002.10.19.13:10,147,5363,68,1842
2002,2002.10.21.04:01,303,2142,70,98
2002,2002.10.22.14:08,335,505,75,99
2002,2002.10.22.14:09,301,269,78,79
2002,2002.10.23.00:35,191,76,95,25
2002,2002.10.23.03:35,404,4558,100,1618
2002,2002.10.25.13:28,191,594,75,83
2002,2002.10.26.03:21,415,269,100,79
2002,2002.10.27.16:49,200,6560,22,2503
2002,2002.10.27.18:21,335,3796,70,669
2002,2002.10.28.06:45,96,5018,95,910
2002,2002.10.28.06:46,96,8919,95,3660
2002,2002.10.28.06:47,96,5019,95,1739
2002,2002.10.28.06:48,96,5024,88,1737
2002,2002.10.28.06:50,96,5020,80,1741
2002,2002.10.28.06:51,96,7549,72,3069
2002,2002.10.28.06:55,96,8184,88,938
2002,2002.10.28.10:38,117,547,96,125
2002,2002.10.29.09:25,170,6659,66,2565
2002,2002.10.29.20:25,410,791,73,189
2002,2002.10.30.05:36,146,3760,90,1181
2002,2002.10.30.23:59,191,1901,88,674
2002,2002.11.01.11:29,376,10917,23,4461
2002,2002.11.04.09:12,426,264,78,15
2002,2002.11.04.09:51,426,7619,82,6
2002,2002.11.04.10:10,426,1342,36,362
2002,2002.11.04.11:04,426,4952,31,1281
2002,2002.11.05.05:25,170,2114,80,151
2002,2002.11.05.06:59,426,777,60,140
2002,2002.11.05.07:10,426,3303,78,34
2002,2002.11.05.07:13,426,602,78,141
2002,2002.11.05.07:19,426,522683,52,64
2002,2002.11.05.10:36,426,475,84,106
2002,2002.11.06.15:04,440,1136,100,295
2002,2002.11.06.19:35,73,131,100,37
2002,2002.11.07.22:41,426,2583,75,419
2002,2002.11.07.22:46,426,260,46,70
2002,2002.11.07.22:50,426,1150,95,305
2002,2002.11.08.08:32,170,11127,95,37
2002,2002.11.09.18:05,200,11151,82,4584
2002,2002.11.09.21:45,326,485,75,99
2002,2002.11.10.06:45,335,825,85,198
2002,2002.11.10.08:44,355,7724,94,2408
2002,2002.11.10.17:46,433,3719,82,39
2002,2002.11.10.19:35,148,6906,85,2726
2002,2002.11.10.23:42,433,167,86,4
2002,2002.11.11.21:33,191,245,70,70
2002,2002.11.12.13:15,335,220,90,72
2002,2002.11.12.13:47,335,2971,96,98
2002,2002.11.12.14:44,404,2851,93,1068
2002,2002.11.12.16:02,147,2739,78,706
2002,2002.11.12.16:05,147,4711,58,706
2002,2002.11.12.16:07,147,4373,40,1496
2002,2002.11.12.16:12,147,5272,66,1664
2002,2002.11.12.17:18,147,4613,50,1220
2002,2002.11.12.17:34,147,2354,80,906
2002,2002.11.12.17:38,147,2356,76,906
2002,2002.11.13.00:51,191,1413,98,193
2002,2002.11.14.00:28,80,11688,80,1404
2002,2002.11.14.10:01,426,613,49,141
2002,2002.11.14.11:29,152,515455,76,13
2002,2002.11.15.01:57,404,9795,95,4108
2002,2002.11.16.12:50,205,4047,76,1394
2002,2002.11.16.16:34,200,7072,100,2781
2002,2002.11.16.23:02,191,437,90,97
2002,2002.11.17.12:18,486,201,79,17
2002,2002.11.19.14:11,267,8002,84,826
2002,2002.11.20.09:03,490,1957,98,702
2002,2002.11.21.06:33,490,6745,90,124
2002,2002.11.21.06:49,490,12027,100,4938
2002,2002.11.21.08:26,490,1253,90,333
2002,2002.11.21.18:53,200,12045,75,799
2002,2002.11.22.08:06,200,10827,71,4448
2002,2002.11.22.11:37,376,2894,98,1097
2002,2002.11.22.16:52,152,326,70,85
2002,2002.11.23.01:44,147,12162,79,4975
2002,2002.11.23.10:08,490,12086,65,4956
2002,2002.11.24.21:30,509,3019,94,818
2002,2002.11.25.02:37,303,963,78,219
2002,2002.11.25.22:28,399,664,84,138
2002,2002.11.26.10:53,326,107,79,32
2002,2002.11.27.05:15,170,12399,90,5023
2002,2002.11.27.05:23,170,2990,85,425
2002,2002.11.27.11:58,205,5941,98,2037
2002,2002.11.27.20:16,147,453071,80,952
2002,2002.11.27.20:20,147,2456,64,952
2002,2002.11.27.20:23,147,2455,55,952
2002,2002.11.27.20:34,147,1504,90,329
2002,2002.11.27.23:39,509,1309,83,355
2002,2002.11.28.19:38,147,12544,68,5331
2002,2002.11.28.23:05,500,12183,95,4979
2002,2002.11.30.00:35,191,452344,100,163
2002,2002.11.30.16:58,147,419,68,98
2002,2002.11.30.17:30,147,4095,66,1209
2002,2002.12.01.16:47,303,12308,20,1395
2002,2002.12.01.21:36,147,2925,4,386
2002,2002.12.01.21:42,147,940,94,203
2002,2002.12.01.21:42,152,2146,87,812
2002,2002.12.01.22:26,152,428529,81,544
2002,2002.12.01.22:42,147,807,91,157
2002,2002.12.01.23:18,147,4945,80,758
2002,2002.12.01.23:24,147,4946,70,758
2002,2002.12.01.23:29,147,4836,84,1660
2002,2002.12.01.23:32,267,12501,20,286
2002,2002.12.01.23:36,147,5417,63,1212
2002,2002.12.01.23:39,267,1181,72,255
2002,2002.12.01.23:42,147,312,61,84
2002,2002.12.01.23:47,147,329,73,84
2002,2002.12.02.00:01,147,368,81,84
2002,2002.12.02.17:30,152,1519,91,260
2002,2002.12.02.17:55,152,3984,25,544
2002,2002.12.02.19:56,303,150,98,44
2002,2002.12.03.01:14,303,4103,92,1420
2002,2002.12.03.05:53,544,344,4,69
2002,2002.12.04.00:45,404,4555,92,1618
2002,2002.12.04.01:17,404,4556,87,1618
2002,2002.12.04.01:39,500,12816,75,5184
2002,2002.12.04.02:02,404,7576,93,3103
2002,2002.12.04.21:46,152,4095,70,1209
2002,2002.12.04.22:06,152,2971,99,98
2002,2002.12.06.11:06,211,2661,98,538
2002,2002.12.06.11:26,211,5189,98,1720
2002,2002.12.06.12:12,211,842,93,201
2002,2002.12.07.09:38,473,10130,90,4
2002,2002.12.08.06:44,147,1579,74,441
2002,2002.12.08.20:43,565,7538,85,3075
2002,2002.12.08.23:48,565,7072,97,2781
2002,2002.12.09.01:02,473,13168,100,827
2002,2002.12.09.12:40,326,2127,87,691
2002,2002.12.09.15:31,571,547,98,125
2002,2002.12.09.15:49,565,3651,94,1251
2002,2002.12.09.19:52,566,13168,65,827
2002,2002.12.09.22:29,410,1592,85,471
2002,2002.12.11.15:54,326,4415,79,1513
2002,2002.12.12.10:07,561,2966,75,1113
2002,2002.12.12.15:13,147,1581,62,441
2002,2002.12.12.15:21,147,1585,44,441
2002,2002.12.13.07:33,200,1878,80,657
2002,2002.12.13.12:49,326,417723,85,158
2002,2002.12.13.15:30,561,16,95,3
2002,2002.12.13.18:27,566,3950,95,1370
2002,2002.12.13.21:11,566,920,90,139
2002,2002.12.14.00:29,191,7087,70,2799
2002,2002.12.14.22:23,147,1136,59,295
2002,2002.12.14.22:29,147,451650,77,295
2002,2002.12.15.01:22,147,1147,89,304
2002,2002.12.15.01:34,147,3758,83,1293
2002,2002.12.15.07:52,28,529,100,99
2002,2002.12.15.14:03,335,7546,100,25
2002,2002.12.16.12:50,147,4045,8,335
2002,2002.12.16.21:43,147,469335,65,1836
2002,2002.12.17.00:29,147,459776,91,105
2002,2002.12.17.00:45,147,2766,79,105
2002,2002.12.17.00:49,147,2760,82,105
2002,2002.12.17.00:55,147,2762,85,105
2002,2002.12.17.01:06,147,693,61,105
2002,2002.12.17.01:06,303,4460,80,808
2002,2002.12.17.01:14,147,681,66,105
2002,2002.12.20.12:42,200,12866,68,5171
2002,2002.12.20.18:11,326,2990,76,425
2002,2002.12.22.17:59,479,10263,60,163
2002,2002.12.22.18:10,479,1328,45,163
2002,2002.12.22.18:33,479,1319,85,163
2002,2002.12.23.09:31,479,1315,70,163
2002,2002.12.23.09:46,479,681,70,105
2002,2002.12.23.09:56,479,693,80,105
